Poster,Title,Year,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Action,5.5,60.0,Benjamin Brewer,Jaeden Martell,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Action,5.5,60.0,Benjamin Brewer,Maxwell Jenkins,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Action,5.5,60.0,Benjamin Brewer,Sadie Soverall,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Horror,5.5,60.0,Benjamin Brewer,Jaeden Martell,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Horror,5.5,60.0,Benjamin Brewer,Maxwell Jenkins,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Horror,5.5,60.0,Benjamin Brewer,Sadie Soverall,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Thriller,5.5,60.0,Benjamin Brewer,Jaeden Martell,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Thriller,5.5,60.0,Benjamin Brewer,Maxwell Jenkins,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,92.0,Thriller,5.5,60.0,Benjamin Brewer,Sadie Soverall,"6,989",A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.,61,"There is no mode - ""stabilization""","The story of a father and two teenagers in a post-apocalyptic world inhabited by bloodthirsty creatures. The first thing that cannot be agreed with is that Nicolas Cage has not aged in 15 years, probably the atmosphere of the post-apocalypse has influenced him so much. Secondly, it's a twitching camera, it's like shaking the screen in a movie theater - a nightmare for epileptics. Thirdly, the operator does not know what a mise en scene or composition is at all - there is nothing beautiful in camerawork, there is nothing for the eye to cling to. Fourthly, it is very boring. Watching this is like standing in line for an appointment with a therapist: it's unbearable, and I want it all to end as soon as possible. I couldn't watch it to the end, it's beyond me."
"https://m.media-amazon.com/images/M/MV5BZDI4MjI1YmYtYzg1Ny00MWQzLWIwNTgtNmFkMWNhYTYzYjdkXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg",Dream Scenario,2006.0,102.0,Comedy,6.9,74.0,Kristoffer Borgli,Lily Bird,"58,220",An ordinary family man finds his life turned upside down when strangers suddenly start seeing him in their dreams.,229,"Really good, up to the point where it isn't.","The first eighty percent of this film was excellent - it felt like the best Stephen King story that King didn't write. The slow destruction of the life of an ordinary man for reasons which were completely outside his control was well-conceived, well-plotted and well acted. Nicholas Cage's performance was pitch perfect.To an extent, this film can be seen as a satirical condemnation of social media fame and cancel culture, though that's secondary to the theme of mounting paranoia - both from Prof Matthews and the wider world.The fact that this film started out as a project of Ari Aster is no surprise, as it has much in common with Beau is Afraid - notably the hapless and powerless central character and some surreal and blackly comic moments.Then, in the last fifteen minutes or so, the film loses its way. A new element is brought in which pretty much undermines what had gone before. The result wasn't bad, exactly, but seemed to belong in a different film. I think it would've been better if the film had had the courage of its convictions and followed Prof Matthews to his logical fate.For all that, it's an interesting film, and I would urge you to see it."
